Id,Sentiment,Acara TV,Text Tweet
1,positive,HitamPutihTransTV,"Undang @N_ShaniJKT48 ke hitamputih, pemenang SSK JKT48 harusnya mJKT48 ini lebih Layak di Undang karena prestasinya"
2,positive,HitamPutihTransTV,Selamat berbuka puasa Semoga amal ibadah hari ni diterima Allah #hitamputih
3,positive,HitamPutihTransTV,"Ada nih di trans7 hitam putih, dia dpt penghargaan juga di norwegia #hitamputih"
4,positive,HitamPutihTransTV,selamat ya mas @adietaufan masuk hitamputih
5,positive,HitamPutihTransTV,Asiknya nonton Hitam Putih Trans7
6,positive,HitamPutihTransTV,@TRANS7 acara paling komplit dan menarik apalagi ada hitam putih
7,positive,HitamPutihTransTV,hitam putih T7 inspiratif banget
8,positive,HitamPutihTransTV,Suka banget dengan acara hitam putih
9,positive,HitamPutihTransTV,Keren lu bro #HitamPutihTrans7
10,positive,HitamPutihTransTV,"Tadi ada yg liat hitam putih di trans7 ga, Ada sanggu ganteng"
11,positive,HitamPutihTransTV,cinta mengikat silaturahmi di hati ... #LunaMaya #hitamputihtrans7 .... https://www.instagram.com/p/BTqszJ3jO9A/
12,positive,HitamPutihTransTV,Terima kasih pak.... Sudah mau membantu kami untuk menyekolahkan adik saya.... #hitamputihtrans7
13,positive,HitamPutihTransTV,Semoga lancar hitamputihtrans7
14,positive,HitamPutihTransTV,Trans7 Hitam Putih terbaik https://www.instagram.com/p/BTYyTXMgVKd/
15,positive,HitamPutihTransTV,Acara hitam putih paling bagus buat di lihat
16,positive,HitamPutihTransTV,"@TRANS7 undang @DA3_Rafly di acara hitam putih ya,dia jebolan dangdut academi pinter nyanyi lagu india suaranya keren"
17,positive,HitamPutihTransTV,"Bagus Rancangan Seperti ini di TRANS7 HitamPutih, Sambil2 Dakwah Hiburannya. Terima kasih Ustadz Wijayanto..."
18,positive,HitamPutihTransTV,"Wah kapan Rihanna bisa jadi bintang tamu Hitam Putih kayak di @ASAL_Trans7. jadi kangen, kapan tayang lagi di @TRANS7?"
19,positive,HitamPutihTransTV,Terimakasih telah menonton Hitam Putih malam ini. Semoga dapat menginspirasi dan dapat memberikan pelajaran utk Sobat7. #RafatharonHP
20,positive,HitamPutihTransTV,Acara hitam putih di trans7 topiknya bagus nih. Ttg Kepribadian ganda.
21,positive,HitamPutihTransTV,Nonton kisah anastasya wella di #hitamputihtrans7 seru bgt ya kisahnya. Punya 9 kepribadian berbeda.
22,positive,HitamPutihTransTV,Yang bikin selalu rindu kalau jauh dari nya... #hitamputihtrans7
23,positive,HitamPutihTransTV,@HitamPutih wihh hebat kakek neneknya @TRANS7
24,positive,HitamPutihTransTV,Setelah menunggu sekian lama. Akhirnya @yukikatou2 nongol juga di HITAM PUTIH TRANS7
25,positive,HitamPutihTransTV,makin asik hitam putih
26,positive,HitamPutihTransTV,"Spensa Boys asal poso di hitam putih trans7 ASLI KALIAN KEREN!! yang pake kemeja biru putih, si gingsul ada salam dari sini"
27,positive,HitamPutihTransTV,Wahh asik nih vocalgrup #HitamPutih... thanks @TRANS7
28,positive,HitamPutihTransTV,setiap hari aku slalu nonton Hitam Putih di Trans7. Hbs acara nya bagus banget mas Dedy.
29,positive,HitamPutihTransTV,Acara Hitam Putih di Trans7 malam ini pembahasannya MANTAB! Setuju kalau bakal diperbanyak yang mengulas hal semacam ini
30,positive,HitamPutihTransTV,lg seru nonton hitam putih.. terus lanjut nonton on the spot @indahmariana19 @hitamputiht7 @trans7
31,positive,HitamPutihTransTV,#HPJkt48 #JKT48HitamPutihT7 trio unyu di acara master Dedy.. Thanks #HitamPutih
32,positive,HitamPutihTransTV,perusahaan jujur pasti punya pekerja yg jujur. #hitamPutihT7
33,positive,HitamPutihTransTV,"Keren, undang mereka dong di acara HitamPutih atau acara presiden @news_trans7"
34,positive,HitamPutihTransTV,Suka banget sama episode Hitam Putih malam ini! #HitamPutih_Trans7
35,positive,HitamPutihTransTV,"Kangen jeketi jadi bintang tamu Hitam Putih Trans7, seru aja gitu pas jaman gen 1 diundang ke hitam putih"
36,positive,HitamPutihTransTV,Terima kasih telah menyaksikan Hitam Putih hari ini. Semoga menginspirasi dan terhibur
37,positive,HitamPutihTransTV,makin ok saja hitam putih... mau donk di undang.....
38,positive,HitamPutihTransTV,Sangat menginspirasi. #hitamputihtrans7 #FOCUS Hari ini banyak inspirasi buat saya
39,positive,HitamPutihTransTV,seru nih hitam putih trans7 live
40,positive,HitamPutihTransTV,Bersyukurlah kita hidup di Indonesia #hitamputihtrans7
41,positive,HitamPutihTransTV,"Setuju banget sama ucapan deddy corbuzier di Hitam Putih Trans7 hr ini. Guru tak perlu diberikan tanda jasa, cukup naikan gaji"
42,positive,HitamPutihTransTV,selamat siang selamat beraktivitas juga kami selalu menunggu hitam putih di chaenel kesayangan trans7
43,positive,HitamPutihTransTV,Ada @Stefan0Lilipaly & @andik_vermansah di #HitamPutihT7 Keren.. !!!
44,positive,HitamPutihTransTV,"nonton trans7 hitam putih keren abis jesika cantik, dedy ganteng @hitamputihtrans7"
45,positive,HitamPutihTransTV,acara hitam putih memang oke
46,positive,HitamPutihTransTV,"Yuk tweeps merapat, sebentar lagi Hitam Putih akan LIVE!"
